row.names,value,nme,method,time,od,orig,dest,node
322,8.185232e+03,dst switch,obs,(02/22/99 00:32:44),0,all,switch,switch
323,4.604095e+04,dst local,obs,(02/22/99 00:32:44),0,all,local,local
324,3.645340e+04,dst corp,obs,(02/22/99 00:32:44),0,all,corp,corp
325,6.144298e+05,total,obs,(02/22/99 00:32:44),0,all,all,all
351,0.000000e+00,fddi->fddi,obs,(02/22/99 00:37:44),1,fddi,fddi,
352,7.163636e+01,fddi->switch,obs,(02/22/99 00:37:44),1,fddi,switch,
353,3.452531e+04,fddi->local,obs,(02/22/99 00:37:44),1,fddi,local,
354,2.828283e-01,fddi->corp,obs,(02/22/99 00:37:44),1,fddi,corp,
355,6.091582e+01,switch->fddi,obs,(02/22/99 00:37:44),1,switch,fddi,
356,2.634397e+03,switch->switch,obs,(02/22/99 00:37:44),1,switch,switch,
357,8.214973e+03,switch->local,obs,(02/22/99 00:37:44),1,switch,local,
358,4.032194e+04,switch->corp,obs,(02/22/99 00:37:44),1,switch,corp,
359,5.176376e+05,local->fddi,obs,(02/22/99 00:37:44),1,local,fddi,
360,9.133906e+02,local->switch,obs,(02/22/99 00:37:44),1,local,switch,
361,5.185185e+00,local->local,obs,(02/22/99 00:37:44),1,local,local,
362,1.386566e+03,local->corp,obs,(02/22/99 00:37:44),1,local,corp,
363,5.656566e-01,corp->fddi,obs,(02/22/99 00:37:44),1,corp,fddi,
364,4.546306e+03,corp->switch,obs,(02/22/99 00:37:44),1,corp,switch,
365,6.441650e+02,corp->local,obs,(02/22/99 00:37:44),1,corp,local,
366,0.000000e+00,corp->corp,obs,(02/22/99 00:37:44),1,corp,corp,
367,3.459723e+04,src fddi,obs,(02/22/99 00:37:44),0,fddi,all,fddi
368,5.123223e+04,src switch,obs,(02/22/99 00:37:44),0,switch,all,switch
369,5.199427e+05,src local,obs,(02/22/99 00:37:44),0,local,all,local
370,5.191037e+03,src corp,obs,(02/22/99 00:37:44),0,corp,all,corp
371,5.176990e+05,dst fddi,obs,(02/22/99 00:37:44),0,all,fddi,fddi
372,8.165731e+03,dst switch,obs,(02/22/99 00:37:44),0,all,switch,switch
373,4.338963e+04,dst local,obs,(02/22/99 00:37:44),0,all,local,local
374,4.170879e+04,dst corp,obs,(02/22/99 00:37:44),0,all,corp,corp
375,6.109632e+05,total,obs,(02/22/99 00:37:44),0,all,all,all
401,0.000000e+00,fddi->fddi,obs,(02/22/99 00:42:43),1,fddi,fddi,
402,4.293603e+01,fddi->switch,obs,(02/22/99 00:42:43),1,fddi,switch,
403,3.581432e+04,fddi->local,obs,(02/22/99 00:42:43),1,fddi,local,
404,2.828283e-01,fddi->corp,obs,(02/22/99 00:42:43),1,fddi,corp,
405,2.878114e+01,switch->fddi,obs,(02/22/99 00:42:43),1,switch,fddi,
406,2.582458e+03,switch->switch,obs,(02/22/99 00:42:43),1,switch,switch,
407,9.554209e+03,switch->local,obs,(02/22/99 00:42:43),1,switch,local,
408,8.409299e+04,switch->corp,obs,(02/22/99 00:42:43),1,switch,corp,
409,5.142457e+05,local->fddi,obs,(02/22/99 00:42:43),1,local,fddi,
410,1.050438e+03,local->switch,obs,(02/22/99 00:42:43),1,local,switch,
411,1.102694e+01,local->local,obs,(02/22/99 00:42:43),1,local,local,
412,1.256246e+03,local->corp,obs,(02/22/99 00:42:43),1,local,corp,
413,5.656566e-01,corp->fddi,obs,(02/22/99 00:42:43),1,corp,fddi,
414,6.750867e+04,corp->switch,obs,(02/22/99 00:42:43),1,corp,switch,
415,9.509966e+02,corp->local,obs,(02/22/99 00:42:43),1,corp,local,
416,0.000000e+00,corp->corp,obs,(02/22/99 00:42:43),1,corp,corp,
417,3.585754e+04,src fddi,obs,(02/22/99 00:42:43),0,fddi,all,fddi
418,9.625844e+04,src switch,obs,(02/22/99 00:42:43),0,switch,all,switch
419,5.165634e+05,src local,obs,(02/22/99 00:42:43),0,local,all,local
420,6.846024e+04,src corp,obs,(02/22/99 00:42:43),0,corp,all,corp
421,5.142750e+05,dst fddi,obs,(02/22/99 00:42:43),0,all,fddi,fddi
422,7.118451e+04,dst switch,obs,(02/22/99 00:42:43),0,all,switch,switch
423,4.633055e+04,dst local,obs,(02/22/99 00:42:43),0,all,local,local
424,8.534952e+04,dst corp,obs,(02/22/99 00:42:43),0,all,corp,corp
425,7.171396e+05,total,obs,(02/22/99 00:42:43),0,all,all,all
451,0.000000e+00,fddi->fddi,obs,(02/22/99 00:47:43),1,fddi,fddi,
452,8.904714e+01,fddi->switch,obs,(02/22/99 00:47:43),1,fddi,switch,
453,3.308551e+04,fddi->local,obs,(02/22/99 00:47:43),1,fddi,local,
454,2.828283e-01,fddi->corp,obs,(02/22/99 00:47:43),1,fddi,corp,
455,7.665657e+01,switch->fddi,obs,(02/22/99 00:47:43),1,switch,fddi,
456,2.516697e+03,switch->switch,obs,(02/22/99 00:47:43),1,switch,switch,
457,8.329114e+03,switch->local,obs,(02/22/99 00:47:43),1,switch,local,
458,5.576668e+04,switch->corp,obs,(02/22/99 00:47:43),1,switch,corp,
459,5.438107e+05,local->fddi,obs,(02/22/99 00:47:43),1,local,fddi,
460,1.034724e+03,local->switch,obs,(02/22/99 00:47:43),1,local,switch,
461,4.915825e+00,local->local,obs,(02/22/99 00:47:43),1,local,local,
462,1.551192e+03,local->corp,obs,(02/22/99 00:47:43),1,local,corp,
463,5.656566e-01,corp->fddi,obs,(02/22/99 00:47:43),1,corp,fddi,
464,5.110037e+03,corp->switch,obs,(02/22/99 00:47:43),1,corp,switch,
465,1.051138e+03,corp->local,obs,(02/22/99 00:47:43),1,corp,local,
466,0.000000e+00,corp->corp,obs,(02/22/99 00:47:43),1,corp,corp,
467,3.317484e+04,src fddi,obs,(02/22/99 00:47:43),0,fddi,all,fddi
468,6.668915e+04,src switch,obs,(02/22/99 00:47:43),0,switch,all,switch
469,5.464016e+05,src local,obs,(02/22/99 00:47:43),0,local,all,local
470,6.161741e+03,src corp,obs,(02/22/99 00:47:43),0,corp,all,corp
471,5.438879e+05,dst fddi,obs,(02/22/99 00:47:43),0,all,fddi,fddi
472,8.750505e+03,dst switch,obs,(02/22/99 00:47:43),0,all,switch,switch
473,4.247067e+04,dst local,obs,(02/22/99 00:47:43),0,all,local,local
474,5.731816e+04,dst corp,obs,(02/22/99 00:47:43),0,all,corp,corp
475,6.524273e+05,total,obs,(02/22/99 00:47:43),0,all,all,all
501,0.000000e+00,fddi->fddi,obs,(02/22/99 00:52:44),1,fddi,fddi,
502,4.293603e+01,fddi->switch,obs,(02/22/99 00:52:44),1,fddi,switch,
503,3.448625e+04,fddi->local,obs,(02/22/99 00:52:44),1,fddi,local,
504,2.828283e-01,fddi->corp,obs,(02/22/99 00:52:44),1,fddi,corp,
505,2.878114e+01,switch->fddi,obs,(02/22/99 00:52:44),1,switch,fddi,
506,2.410525e+03,switch->switch,obs,(02/22/99 00:52:44),1,switch,switch,
507,7.499976e+03,switch->local,obs,(02/22/99 00:52:44),1,switch,local,
508,1.838743e+05,switch->corp,obs,(02/22/99 00:52:44),1,switch,corp,
509,9.639549e+05,local->fddi,obs,(02/22/99 00:52:44),1,local,fddi,
510,1.093455e+03,local->switch,obs,(02/22/99 00:52:44),1,local,switch,
511,5.185185e+00,local->local,obs,(02/22/99 00:52:44),1,local,local,
512,1.420327e+03,local->corp,obs,(02/22/99 00:52:44),1,local,corp,
513,5.656566e-01,corp->fddi,obs,(02/22/99 00:52:44),1,corp,fddi,
514,7.071195e+03,corp->switch,obs,(02/22/99 00:52:44),1,corp,switch,
515,4.984209e+02,corp->local,obs,(02/22/99 00:52:44),1,corp,local,
516,0.000000e+00,corp->corp,obs,(02/22/99 00:52:44),1,corp,corp,
517,3.452947e+04,src fddi,obs,(02/22/99 00:52:44),0,fddi,all,fddi
518,1.938135e+05,src switch,obs,(02/22/99 00:52:44),0,switch,all,switch
519,9.664739e+05,src local,obs,(02/22/99 00:52:44),0,local,all,local
520,7.570182e+03,src corp,obs,(02/22/99 00:52:44),0,corp,all,corp
521,9.639843e+05,dst fddi,obs,(02/22/99 00:52:44),0,all,fddi,fddi
522,1.061811e+04,dst switch,obs,(02/22/99 00:52:44),0,all,switch,switch
523,4.248983e+04,dst local,obs,(02/22/99 00:52:44),0,all,local,local
524,1.852949e+05,dst corp,obs,(02/22/99 00:52:44),0,all,corp,corp
525,1.202387e+06,total,obs,(02/22/99 00:52:44),0,all,all,all
551,0.000000e+00,fddi->fddi,obs,(02/22/99 00:57:44),1,fddi,fddi,
552,8.410774e+01,fddi->switch,obs,(02/22/99 00:57:44),1,fddi,switch,
553,3.387948e+04,fddi->local,obs,(02/22/99 00:57:44),1,fddi,local,
554,2.828283e-01,fddi->corp,obs,(02/22/99 00:57:44),1,fddi,corp,
555,6.992593e+01,switch->fddi,obs,(02/22/99 00:57:44),1,switch,fddi,
556,2.176394e+03,switch->switch,obs,(02/22/99 00:57:44),1,switch,switch,
557,8.307919e+03,switch->local,obs,(02/22/99 00:57:44),1,switch,local,
558,1.798696e+05,switch->corp,obs,(02/22/99 00:57:44),1,switch,corp,
559,8.705292e+05,local->fddi,obs,(02/22/99 00:57:44),1,local,fddi,
560,1.198296e+03,local->switch,obs,(02/22/99 00:57:44),1,local,switch,
561,6.877778e+01,local->local,obs,(02/22/99 00:57:44),1,local,local,
562,1.734094e+03,local->corp,obs,(02/22/99 00:57:44),1,local,corp,
563,5.656566e-01,corp->fddi,obs,(02/22/99 00:57:44),1,corp,fddi,
564,3.783157e+04,corp->switch,obs,(02/22/99 00:57:44),1,corp,switch,
565,7.829158e+02,corp->local,obs,(02/22/99 00:57:44),1,corp,local,
566,0.000000e+00,corp->corp,obs,(02/22/99 00:57:44),1,corp,corp,
567,3.396387e+04,src fddi,obs,(02/22/99 00:57:44),0,fddi,all,fddi
568,1.904239e+05,src switch,obs,(02/22/99 00:57:44),0,switch,all,switch
569,8.735304e+05,src local,obs,(02/22/99 00:57:44),0,local,all,local
570,3.861505e+04,src corp,obs,(02/22/99 00:57:44),0,corp,all,corp
571,8.705997e+05,dst fddi,obs,(02/22/99 00:57:44),0,all,fddi,fddi
572,4.129036e+04,dst switch,obs,(02/22/99 00:57:44),0,all,switch,switch
573,4.303909e+04,dst local,obs,(02/22/99 00:57:44),0,all,local,local
574,1.816040e+05,dst corp,obs,(02/22/99 00:57:44),0,all,corp,corp
575,1.136533e+06,total,obs,(02/22/99 00:57:44),0,all,all,all
601,0.000000e+00,fddi->fddi,obs,(02/22/99 01:02:43),1,fddi,fddi,
602,8.323906e+01,fddi->switch,obs,(02/22/99 01:02:43),1,fddi,switch,
603,3.521008e+04,fddi->local,obs,(02/22/99 01:02:43),1,fddi,local,
604,2.828283e-01,fddi->corp,obs,(02/22/99 01:02:43),1,fddi,corp,
605,4.269798e+02,switch->fddi,obs,(02/22/99 01:02:43),1,switch,fddi,
606,3.040906e+03,switch->switch,obs,(02/22/99 01:02:43),1,switch,switch,
607,6.620330e+03,switch->local,obs,(02/22/99 01:02:43),1,switch,local,
608,5.211449e+04,switch->corp,obs,(02/22/99 01:02:43),1,switch,corp,
609,6.538114e+05,local->fddi,obs,(02/22/99 01:02:43),1,local,fddi,
610,1.482970e+03,local->switch,obs,(02/22/99 01:02:43),1,local,switch,
611,4.915825e+00,local->local,obs,(02/22/99 01:02:43),1,local,local,
612,1.794990e+03,local->corp,obs,(02/22/99 01:02:43),1,local,corp,
613,5.656566e-01,corp->fddi,obs,(02/22/99 01:02:43),1,corp,fddi,
614,4.603724e+03,corp->switch,obs,(02/22/99 01:02:43),1,corp,switch,
615,6.709057e+02,corp->local,obs,(02/22/99 01:02:43),1,corp,local,
616,0.000000e+00,corp->corp,obs,(02/22/99 01:02:43),1,corp,corp,
617,3.529360e+04,src fddi,obs,(02/22/99 01:02:43),0,fddi,all,fddi
618,6.220270e+04,src switch,obs,(02/22/99 01:02:43),0,switch,all,switch
619,6.570943e+05,src local,obs,(02/22/99 01:02:43),0,local,all,local
620,5.275195e+03,src corp,obs,(02/22/99 01:02:43),0,corp,all,corp
621,6.542389e+05,dst fddi,obs,(02/22/99 01:02:43),0,all,fddi,fddi
622,9.210838e+03,dst switch,obs,(02/22/99 01:02:43),0,all,switch,switch
623,4.250623e+04,dst local,obs,(02/22/99 01:02:43),0,all,local,local
624,5.390976e+04,dst corp,obs,(02/22/99 01:02:43),0,all,corp,corp
625,7.598658e+05,total,obs,(02/22/99 01:02:43),0,all,all,all
651,0.000000e+00,fddi->fddi,obs,(02/22/99 01:07:43),1,fddi,fddi,
652,9.515152e+01,fddi->switch,obs,(02/22/99 01:07:43),1,fddi,switch,
653,2.897618e+04,fddi->local,obs,(02/22/99 01:07:43),1,fddi,local,
654,2.828283e-01,fddi->corp,obs,(02/22/99 01:07:43),1,fddi,corp,
655,8.689562e+01,switch->fddi,obs,(02/22/99 01:07:43),1,switch,fddi,
656,2.206040e+03,switch->switch,obs,(02/22/99 01:07:43),1,switch,switch,
657,3.796909e+03,switch->local,obs,(02/22/99 01:07:43),1,switch,local,
658,3.792373e+04,switch->corp,obs,(02/22/99 01:07:43),1,switch,corp,
659,9.095070e+05,local->fddi,obs,(02/22/99 01:07:43),1,local,fddi,
660,1.234030e+03,local->switch,obs,(02/22/99 01:07:43),1,local,switch,
661,1.116162e+01,local->local,obs,(02/22/99 01:07:43),1,local,local,
662,1.746522e+03,local->corp,obs,(02/22/99 01:07:43),1,local,corp,
663,5.656566e-01,corp->fddi,obs,(02/22/99 01:07:43),1,corp,fddi,
664,4.452542e+03,corp->switch,obs,(02/22/99 01:07:43),1,corp,switch,
665,7.350640e+02,corp->local,obs,(02/22/99 01:07:43),1,corp,local,
666,0.000000e+00,corp->corp,obs,(02/22/99 01:07:43),1,corp,corp,
667,2.907161e+04,src fddi,obs,(02/22/99 01:07:43),0,fddi,all,fddi
668,4.401358e+04,src switch,obs,(02/22/99 01:07:43),0,switch,all,switch
